,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2020 and displays the percent change from the previous year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Park,Recreation Visitors,Percent Change,Recreation Visitor Days,Percent Change,,,Non-recreation Visitors,Percent Change,Recreation Visitor Hours,Percent Change,Non-recreation Visitor Hours,Percent Change,"Concessioner
Lodging Overnights",Percent Change,"Concessioner
Camping Overnights",Percent Change,Tent Overnights,Percent Change,Recreation Vehicle Overnights,Percent Change,"Back Country
Overnights",Percent Change,Non-recreation Overnights,Percent Change,Misc. Overnights,Percent Change
,General Grant NMEM,"24,475",-78.50%,"1,019",-79.68%,,,30,-78.10%,"12,237",-79.66%,6,-92.00%,0,,0,,0,,0,,0,,0,,0,
,Governors Island NM,"102,915",-82.59%,"17,152",-82.59%,,,0,,"205,830",-82.59%,0,,0,,0,,0,,0,,0,,0,,0,
,Hamilton Grange NMEM,"23,015",-67.70%,"1,651",-64.18%,,,35,-72.22%,"19,813",-64.18%,1,-87.50%,0,,0,,0,,0,,0,,0,,0,
,Home of Franklin D. Roosevelt NHS,"40,091",-72.75%,"4,412",-77.51%,,,0,,"52,955",-77.51%,0,,0,,0,,0,,0,,0,,0,,0,
,Martin Van Buren NHS,"11,480",-44.33%,956,-45.03%,,,720,0.00%,"11,480",-45.00%,180,0.00%,0,,0,,0,,0,,0,,0,,0,
,Sagamore Hill NHS,"105,289",186.59%,"21,935",186.62%,,,0,,"263,221",186.59%,0,,0,,0,,0,,0,,0,,0,,0,
,Saint Paul's Church NHS,"5,968",-67.80%,615,-70.83%,,,245,-47.31%,"7,386",-70.80%,114,-52.70%,0,,0,,0,,0,,0,,0,,0,
,Saratoga NHP,"73,825",-49.13%,"13,854",-61.25%,,,"90,631",21.00%,"166,249",-61.25%,"7,250",21.01%,0,,0,,0,,0,,0,,0,,0,
,Statue of Liberty NM,"576,396",-86.41%,"216,148",-86.41%,,,0,,"2,593,782",-86.41%,0,,0,,0,,0,,0,,0,,0,,0,
,Stonewall NM,0,-100.00%,0,-100.00%,,,0,,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,0,
,Theodore Roosevelt Birthplace NHS,"4,984",-80.81%,632,-72.59%,,,35,-76.97%,"7,595",-72.56%,7,-72.00%,0,,0,,0,,0,,0,,0,,0,
,Theodore Roosevelt Inaugural NHS,"5,098",-81.11%,750,-82.31%,,,0,,"9,010",-82.29%,0,,0,,0,,0,,0,,0,,0,,0,
,Upper Delaware S&RR,"125,099",16.08%,"35,976",7.49%,,,"145,704",-10.61%,"431,712",7.49%,"11,840",-10.45%,0,,0,,0,,0,,0,,0,,0,
,Vanderbilt Mansion NHS,"217,231",-33.53%,"18,560",-45.86%,,,0,,"222,724",-45.86%,0,,0,,0,,0,,0,,0,,0,,0,
,Women's Rights NHP,"8,237",-78.91%,636,-81.67%,,,"1,344",0.00%,"7,640",-81.65%,672,0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal New York,"8,646,464",-58.85%,"1,825,700",-54.59%,,,"1,100,354",,"21,908,525",-54.59%,"1,933,868",,0,,"5,790",,0,,0,,"3,714",,0,,"10,325",
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blue Ridge PKWY,"8,741,681",-5.85%,"4,467,873",-7.75%,,,"1,456,692",0.00%,"53,614,484",-7.75%,"728,352",0.00%,"14,332",-28.30%,0,,"19,866",-63.77%,"18,577",-47.27%,507,-26.63%,0,-12.60%,"1,131",
,Cape Hatteras NS,"2,648,522",1.61%,"1,184,826",21.89%,,,"143,397",2.81%,"14,217,919",21.89%,"430,768",1.77%,0,,0,,"44,433",0.45%,"52,886",16.48%,0,,48,-57.54%,"1,885",-85.19%
,Cape Lookout NS,"488,331",7.20%,"152,543",1.62%,,,"2,160",0.00%,"1,830,516",1.62%,"6,480",0.00%,0,,0,,0,,0,,"4,526",103.05%,0,-22.45%,"7,840",
,Carl Sandburg Home NHS,"42,672",-45.39%,"5,954",-40.44%,,,0,,"71,451",-40.44%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Raleigh NHS,"153,519",-38.13%,"12,793",-57.49%,,,"1,344",0.00%,"153,519",-57.49%,"1,344",0.00%,0,,0,,0,,0,,0,,0,,0,
,Great Smoky Mountains NP,"5,322,116",-3.60%,"3,210,200",-4.00%,,,0,,"38,522,400",-4.00%,0,,0,,0,,"53,106",6.37%,"41,833",13.62%,"39,552",-4.95%,0,-100.00%,0,
,Guilford Courthouse NMP,"186,020",-16.92%,"8,584",-29.33%,,,"3,515,631",-12.72%,"103,016",-29.33%,"29,179",-12.72%,0,,0,,0,,0,,0,,0,-100.00%,0,
,Moores Creek NB,"58,786",-23.66%,"3,138",-28.73%,,,0,,"37,660",-28.74%,0,,0,,0,,0,,0,,51,-80.53%,0,,0,
,Wright Brothers NMEM,"277,963",-30.53%,"23,163",-30.53%,,,"2,190",0.00%,"277,963",-30.53%,"1,095",0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal North Carolina,"17,919,610",-5.17%,"9,069,074",-3.52%,,,"5,121,414",-9.03%,"108,828,928",-3.52%,"1,197,218",0.27%,"14,332",-28.30%,0,,"117,405",-21.20%,"113,296",-3.54%,"44,636",-0.35%,48,-54.77%,"10,856",
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fort Union Trading Post NHS,"5,225",-59.71%,504,-61.32%,,,492,-4.47%,"6,057",-61.28%,123,-3.15%,0,,0,,0,,0,,0,,0,,0,
,Knife River Indian Villages NHS,"5,263",-49.17%,603,-51.57%,,,451,-18.30%,"7,236",-51.59%,225,-19.35%,0,,0,,0,,0,,0,,0,,0,
,Theodore Roosevelt NP,"551,303",-20.29%,"140,081",-36.76%,,,"6,578",0.00%,"1,680,978",-36.76%,"2,172",0.00%,0,,0,,227,-98.65%,505,-97.54%,"2,591",252.52%,0,-100.00%,0,
,Subtotal North Dakota,"561,791",-21.43%,"141,188",-36.98%,,,"7,521",-1.62%,"1,694,271",-36.98%,"2,520",-2.25%,0,,0,,227,,505,,"2,591",,0,,0,
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charles Young Buffalo Soldiers NM,"2,461",-82.55%,485,-79.10%,,,0,,"5,831",-79.07%,0,,0,,0,,0,,0,,0,,0,,0,
,Cuyahoga Valley NP,"2,755,628",23.13%,"589,633",7.94%,,,0,,"7,075,597",7.94%,0,,"2,141",-72.47%,0,,0,,0,,0,,0,-100.00%,0,
,Dayton Aviation Heritage NHP,"39,851",-57.92%,"4,181",-61.47%,,,0,,"50,179",-61.47%,0,,0,,0,,0,,0,,0,,0,,0,
,First Ladies NHS,"2,406",-77.95%,401,-77.94%,,,0,,"4,812",-77.95%,0,,0,,0,,0,,0,,0,,0,,0,
,Hopewell Culture NHP,"35,710",-40.82%,"5,951",-40.82%,,,0,,"71,420",-40.82%,0,,0,,0,,0,,0,,0,,0,,0,
,James A. Garfield NHS,"14,797",-64.18%,"2,466",-64.18%,,,0,,"29,594",-64.18%,0,,0,,0,,0,,0,,0,,0,,0,
,Perry's Victory & Intl. Peace MEM,"40,469",-66.64%,"3,046",-69.30%,,,0,,"36,555",-69.30%,0,,0,,0,,0,,0,,0,,0,-67.74%,40,
,William Howard Taft NHS,"11,100",-65.74%,925,-65.73%,,,0,,"11,100",-65.74%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Ohio,"2,902,422",11.07%,"607,088",2.75%,,,0,,"7,285,088",2.75%,0,,"2,141",,0,,0,,0,,0,,0,,40,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chickasaw NRA,"1,348,122",-5.24%,"420,714",-18.12%,,,"1,583,471",-3.50%,"5,048,573",-18.12%,"126,677",-3.50%,0,,0,,"42,548",-22.84%,"33,965",-27.95%,0,,0,-75.62%,"6,289",
,Washita Battlefield NHS,"12,520",37.30%,"1,043",37.42%,,,0,,"12,520",37.30%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Oklahoma,"1,360,642",-4.97%,"421,757",-18.03%,,,"1,583,471",-3.50%,"5,061,093",-18.03%,"126,677",-3.50%,0,,0,,"42,548",-22.84%,"33,965",-27.95%,0,,0,-75.62%,"6,289",
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crater Lake NP,"670,500",-4.83%,"262,872",-7.54%,,,"49,600",0.00%,"3,154,465",-7.54%,"24,800",0.00%,"24,491",-29.25%,"17,658",41.51%,0,-100.00%,0,,"3,135",28.69%,0,,0,
,John Day Fossil Beds NM,"88,571",-55.06%,"8,561",-55.07%,,,840,0.00%,"102,742",-55.06%,84,0.00%,0,,0,,0,,0,,0,,0,,0,
,Lewis & Clark NHP,"161,230",-40.50%,"19,610",-41.34%,,,173,19.31%,"235,328",-41.34%,42,13.51%,0,,0,,0,,0,,0,,0,,0,
,Oregon Caves NM & PRES,"22,789",-64.94%,"5,697",-64.94%,,,520,0.00%,"68,367",-64.94%,"1,040",0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Oregon,"943,090",-23.80%,"296,740",-15.95%,,,"51,133",0.05%,"3,560,902",-15.95%,"25,966",0.02%,"24,491",-29.25%,"17,658",41.51%,0,-100.00%,0,,"3,135",28.69%,0,,0,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allegheny Portage Railroad NHS,"136,029",-28.10%,"17,788",-26.74%,,,180,0.00%,"213,467",-26.74%,48,0.00%,0,,0,,0,,0,,0,,0,,0,
,Delaware Water Gap NRA,"1,179,872",20.55%,"406,171",17.08%,,,"15,660",0.00%,"4,874,062",17.08%,"7,824",0.00%,0,,"8,482",12.99%,0,,0,,982,-43.30%,0,-91.11%,775,
,Edgar Allan Poe NHS,"2,418",-84.43%,201,-84.45%,,,0,,"2,418",-84.43%,0,,0,,0,,0,,0,,0,,0,,0,
,Eisenhower NHS,"7,926",-83.23%,"1,056",-83.25%,,,0,,"12,683",-83.23%,0,,0,,0,,0,,0,,0,,0,,0,
,Flight 93 NMEM,"244,364",-40.58%,"35,636",-40.58%,,,0,,"427,637",-40.58%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Necessity NB,"199,801",-35.98%,"17,979",-51.43%,,,120,0.00%,"215,756",-51.43%,48,0.00%,0,,0,,0,,0,,0,,0,-31.43%,397,
,Friendship Hill NHS,"19,462",-43.03%,"4,269",-36.49%,,,0,,"51,237",-36.48%,0,,0,,0,,0,,0,,0,,0,,0,
,Gettysburg NMP,"536,553",-42.00%,"137,628",-59.90%,,,"74,400",0.00%,"1,651,546",-59.90%,"12,348",0.00%,0,,0,,0,,0,,0,,0,-100.00%,0,
,Hopewell Furnace NHS,"34,288",-31.23%,"3,428",-31.25%,,,600,0.00%,"41,145",-31.23%,300,0.00%,0,,0,,0,,0,,0,,0,,0,
,Independence NHP,"907,090",-79.99%,"113,431",-80.14%,,,0,,"1,361,174",-80.14%,0,,0,,0,,0,,0,,0,,0,,0,
,Johnstown Flood NMEM,"87,805",-52.06%,"7,563",-53.12%,,,"137,764",-14.96%,"90,763",-53.12%,"4,131",-14.98%,0,,0,,0,,0,,0,,0,,0,
,Steamtown NHS,"27,322",-74.08%,"2,510",-80.39%,,,"11,592",0.00%,"30,121",-80.39%,"5,796",0.00%,0,,0,,0,,0,,0,,0,,0,
,Thaddeus Kosciuszko NMEM,0,-100.00%,0,-100.00%,,,0,,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,0,
,Upper Delaware S&RR,"125,099",16.08%,"35,976",7.49%,,,"145,704",-10.61%,"431,712",7.49%,"11,840",-10.45%,0,,0,,0,,0,,0,,0,,0,
,Valley Forge NHP,"2,012,832",-10.93%,"335,472",-10.93%,,,0,,"4,025,664",-10.93%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Pennsylvania,"5,520,861",-45.63%,"1,119,108",-39.21%,,,"386,020",-9.71%,"13,429,385",-39.21%,"42,335",-4.75%,0,,"8,482",,0,,0,,982,,0,,"1,172",
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,
,San Juan NHS,"357,100",-70.18%,"47,276",-75.84%,,,0,,"567,321",-75.84%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Puerto Rico,"357,100",-70.18%,"47,276",-75.84%,,,0,,"567,321",-75.84%,0,,0,,0,,0,,0,,0,,0,,0,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roger Williams NMEM,"13,971",-76.49%,"2,146",-49.70%,,,"11,817",-85.85%,"25,755",-49.69%,945,-85.85%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Rhode Island,"13,971",-76.49%,"2,146",-49.70%,,,"11,817",-85.85%,"25,755",-49.69%,945,-85.85%,0,,0,,0,,0,,0,,0,,0,
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charles Pinckney NHS,"23,723",-33.17%,"3,953",-33.17%,,,0,,"47,443",-33.17%,0,,0,,0,,0,,0,,0,,0,,0,
,Congaree NP,"119,306",-25.17%,"40,403",-27.74%,,,0,,"484,836",-27.74%,0,,0,,0,,0,,0,,724,-17.82%,0,-35.75%,"5,622",
,Cowpens NB,"226,903",1.56%,"15,267",-4.25%,,,0,,"183,210",-4.25%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Sumter and Fort Moultrie NHP,"365,133",-58.41%,"73,827",-58.30%,,,0,,"885,932",-58.30%,0,,0,,0,,0,,0,,0,,0,-100.00%,0,
,Kings Mountain NMP,"249,477",-4.79%,"5,787",-69.28%,,,"248,756",-1.73%,"69,450",-69.27%,"41,445",-1.73%,0,,0,,0,,0,,7,-89.55%,0,,0,
,Ninety Six NHS,"95,418",-1.93%,"9,939",-1.92%,,,0,,"119,273",-1.93%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal South Carolina,"1,079,960",-34.77%,"149,176",-47.43%,,,"248,756",,"1,790,144",-47.43%,"41,445",,0,,0,,0,,0,,731,,0,,"5,622",
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Badlands NP,"916,932",-5.57%,"327,378",-6.30%,,,"55,984",0.00%,"3,928,547",-6.30%,"27,992",0.00%,"7,324",3.27%,"13,109",-33.86%,"3,739",7.13%,690,-25.81%,"4,514",81.07%,0,,0,
,Jewel Cave NM,"35,878",-70.95%,"9,004",-65.69%,,,49,-53.33%,"108,057",-65.68%,49,-53.33%,0,,0,,0,,0,,0,,0,,0,
,Minuteman Missile NHS,"98,908",-21.36%,"8,206",0.97%,,,0,,"98,473",0.96%,0,,0,,0,,0,,0,,0,,0,,0,
,Missouri NRR,"111,602",-13.67%,"9,300",-13.67%,,,0,,"111,602",-13.67%,0,,0,,0,,0,,0,,0,,0,,0,
,Mount Rushmore NMEM,"2,074,986",5.68%,"227,670",5.68%,,,"706,689",4.39%,"2,732,050",5.68%,"235,561",4.39%,0,,0,,0,,0,,0,,0,,0,
,Wind Cave NP,"448,405",-27.13%,"99,248",-31.37%,,,"191,304",-20.52%,"1,190,980",-31.37%,"63,131",-20.51%,0,,0,,"2,576",-29.07%,"2,737",-26.33%,403,9.21%,0,-100.00%,0,
,Subtotal South Dakota,"3,686,711",-6.15%,"680,806",-9.78%,,,"954,026",-2.03%,"8,169,709",-9.78%,"326,733",-1.93%,"7,324",3.27%,"13,109",-33.86%,"6,315",-11.33%,"3,427",-26.22%,"4,917",71.80%,0,,0,
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrew Johnson NHS,"46,092",-9.96%,"1,494",-36.43%,,,0,,"17,931",-36.42%,0,,0,,0,,0,,0,,0,,0,,0,
,Big South Fork NRRA,"455,850",2.95%,"272,860",5.24%,,,0,,"3,274,323",5.24%,0,,921,-47.40%,0,,"12,306",126.25%,"24,368",20.75%,"6,850",37.94%,0,-27.36%,"1,909",
,Chickamauga & Chattanooga NMP,"339,208",-30.57%,"58,154",-25.61%,,,0,,"697,857",-25.61%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Donelson NB,"325,496",27.93%,"18,065",27.88%,,,"522,150",-3.48%,"216,782",27.88%,"17,231",-3.49%,0,,0,,0,,0,,0,,0,-100.00%,0,
,Great Smoky Mountains NP,"6,773,604",-3.60%,"4,085,709",-4.00%,,,"10,544,367",0.00%,"49,028,509",-4.00%,"5,272,185",0.00%,"8,083",-26.22%,0,,"91,385",-13.37%,"73,734",-3.90%,"50,340",-4.94%,0,-98.88%,120,
,Manhattan Project NHP,"9,610",-68.10%,514,-79.01%,,,0,,"6,178",-78.99%,0,,0,,0,,0,,0,,0,,0,,0,
,Natchez Trace PKWY,"796,225",-2.72%,"266,339",-3.01%,,,"1,082,765",-9.08%,"3,196,075",-3.01%,"1,082,765",-9.08%,0,,0,,267,-87.71%,873,-76.42%,0,,0,,0,
,Obed W&SR,"237,837",7.47%,"87,263",10.86%,,,"10,800",0.00%,"1,047,167",10.86%,900,0.00%,0,,0,,"12,053",38.76%,0,,"2,059",586.33%,0,,0,
,Shiloh NMP,"386,883",7.17%,"41,343",-4.85%,,,"159,510",4.32%,"496,118",-4.85%,"31,901",4.32%,0,,0,,0,,0,,0,,0,,0,
,Stones River NB,"301,270",5.89%,"31,767",-4.18%,,,"1,498",4.03%,"381,211",-4.18%,298,24.17%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Tennessee,"9,672,075",-3.08%,"4,863,508",-3.55%,,,"12,321,090",,"58,362,151",-3.55%,"6,405,280",,"9,004",,0,,"116,011",,"98,975",,"59,249",,0,,"2,029",
Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alibates Flint Quarries NM,"4,269",-51.75%,889,-51.76%,,,0,,"10,673",-51.74%,0,,0,,0,,0,,0,,0,,0,,0,
,Amistad NRA,"1,424,139",12.32%,"866,925",12.05%,,,"1,128",0.00%,"10,403,111",12.05%,"1,128",0.00%,0,,0,,0,,"7,686",-24.59%,0,,0,-76.08%,531,
,Big Bend NP,"393,907",-15.08%,"648,754",-25.83%,,,"2,364",0.00%,"7,785,058",-25.83%,"7,092",0.00%,"15,534",-68.44%,"4,866",-61.44%,"32,197",-40.82%,"26,952",-6.56%,"28,219",21.01%,0,-46.91%,"19,655",
,Big Thicket NPRES,"309,053",20.76%,"76,972",11.75%,,,0,,"923,673",11.75%,0,,0,,0,,0,,0,,"1,686",9.77%,0,,0,
,Chamizal NMEM,"19,180",-49.83%,"1,598",-61.55%,,,"13,755",-70.92%,"19,180",-61.55%,"48,143",-70.92%,0,,0,,0,,0,,0,,0,,0,
,Fort Davis NHS,"35,920",-30.92%,"6,572",-24.16%,,,253,-0.78%,"78,874",-24.15%,373,-73.17%,0,,0,,0,,0,,0,,0,,0,
,Guadalupe Mountains NP,"151,256",-19.90%,"26,326",-28.40%,,,"1,440",0.00%,"315,920",-28.39%,"1,440",0.00%,0,,0,,"5,753",-45.83%,"5,024",-21.29%,"1,715",-39.57%,0,-68.85%,456,
,Lake Meredith NRA,"1,612,784",21.41%,"384,003",16.14%,,,0,,"4,608,038",16.14%,0,,0,,0,,"14,653",15.96%,"60,236",4.91%,0,,0,,0,
,Lyndon B. Johnson NHP,"75,322",-32.73%,"9,037",-42.85%,,,0,,"108,455",-42.85%,0,,0,,0,,0,,0,,0,,0,,0,
,Padre Island NS,"617,704",7.18%,"339,480",-1.31%,,,"1,800",0.00%,"4,073,768",-1.31%,"14,400",0.00%,0,,0,,"12,503",-37.52%,"28,303",-19.65%,"13,586",-0.11%,0,-16.26%,345,
,Palo Alto Battlefield NHP,"97,860",-34.64%,"14,244",-26.54%,,,0,,"170,932",-26.54%,0,,0,,0,,0,,0,,0,,0,,0,
,Rio Grande W&SR,126,-61.11%,"2,177",-31.93%,,,0,,"26,124",-31.93%,0,,0,,0,,0,,0,,"1,183",-35.78%,0,,0,
,San Antonio Missions NHP,"1,141,353",-10.91%,"141,055",-1.66%,,,0,,"1,692,670",-1.66%,0,,0,,0,,0,,0,,0,,0,,0,
,Waco Mammoth NM,"46,457",-58.27%,"4,839",-59.99%,,,"1,612",-79.43%,"58,071",-59.99%,873,-71.68%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Texas,"5,929,330",1.62%,"2,522,871",-4.34%,,,"22,352",,"30,274,547",-4.34%,"73,449",,"15,534",,"4,866",,"65,106",,"128,201",,"46,389",,0,,"20,987",
Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arches NP,"1,238,083",-25.40%,"357,404",-27.47%,,,0,,"4,288,859",-27.47%,0,,0,,0,,"10,382",-40.75%,"10,621",-34.80%,34,-91.60%,0,-38.05%,"2,904",
,Bryce Canyon NP,"1,464,655",-43.56%,"691,989",-34.64%,,,"412,465",-0.89%,"8,303,869",-34.64%,"123,739",-0.89%,"20,447",-61.10%,0,,"37,491",24.64%,"32,319",36.64%,"1,680",20.52%,0,153.24%,"1,289",
,Canyonlands NP,"493,914",-32.71%,"298,882",-30.39%,,,0,,"3,586,585",-30.39%,0,,0,,0,,"5,606",-38.63%,"4,413",-43.31%,"59,800",-23.03%,0,-68.50%,160,
,Capitol Reef NP,"981,038",-20.01%,"120,544",-24.25%,,,"66,851",17.55%,"1,446,539",-24.25%,"66,851",17.55%,0,,0,,"14,787",-42.38%,"16,005",-33.29%,"2,849",-28.95%,0,-53.62%,"1,270",
,Cedar Breaks NM,"845,867",45.87%,"150,621",46.67%,,,"77,250",41.05%,"1,807,458",46.67%,"154,502",41.05%,0,,0,,"3,458",72.55%,"2,971",46.50%,0,,0,,0,
,Dinosaur NM,"68,678",-11.65%,"29,343",-26.21%,,,732,281.25%,"352,117",-26.21%,732,281.25%,0,,0,,"5,892",-52.68%,"6,018",-62.99%,"5,165",-34.52%,0,-61.53%,247,
,Glen Canyon NRA,"2,195,589",-37.08%,"2,010,707",-38.28%,,,"3,369",-9.17%,"24,128,490",-38.28%,"40,439",-9.13%,"5,905",-22.24%,"6,639",-33.85%,257,-58.01%,226,39.51%,"15,300",-82.96%,0,-54.25%,"72,174",
,Golden Spike NHP,"53,106",-50.90%,"10,132",-53.65%,,,"31,000",0.00%,"121,587",-53.65%,"15,500",0.00%,0,,0,,0,,0,,0,,0,,0,
,Hovenweep NM,"11,118",-43.92%,"2,991",-48.12%,,,168,0.00%,"35,894",-48.12%,36,0.00%,0,,0,,295,-66.36%,721,-45.42%,0,,0,,0,
,Natural Bridges NM,"52,542",-40.35%,"23,869",-44.07%,,,800,0.00%,"286,432",-44.07%,400,0.00%,0,,0,,"1,140",-63.18%,"1,607",-50.75%,0,,0,,0,
,Rainbow Bridge NM,"3,573",-96.90%,446,-96.90%,,,0,,"5,360",-96.90%,0,,0,,0,,0,,0,,0,,0,,0,
,Timpanogos Cave NM,"92,481",-10.66%,"8,647",-49.18%,,,0,,"103,768",-49.18%,0,,0,,0,,0,,0,,0,,0,,0,
,Zion NP,"3,591,254",-19.99%,"1,807,539",-24.46%,,,"21,900",0.00%,"21,690,476",-24.46%,"5,475",0.00%,"29,039",-64.86%,0,,"81,108",-31.43%,"61,792",-21.49%,"4,906",-73.22%,0,-97.74%,488,
,Subtotal Utah,"11,091,898",-27.43%,"5,513,114",-31.39%,,,"614,535",,"66,157,434",-31.39%,"407,674",,"55,391",,"6,639",,"160,416",-27.00%,"136,693",-21.20%,"89,734",-55.02%,0,-58.33%,"78,532",
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marsh-Billings-Rockefeller NHP,"23,538",-48.81%,"3,923",-48.81%,,,0,,"47,076",-48.81%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Vermont,"23,538",-48.81%,"3,923",-48.81%,,,0,,"47,076",-48.81%,0,,0,,0,,0,,0,,0,,0,,0,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buck Island Reef NM,"16,032",-56.77%,"10,157",-44.61%,,,0,,"121,893",-44.61%,0,,0,,0,,0,,0,,0,,0,0.00%,"3,840",
,Christiansted NHS,"23,816",-77.01%,"1,051",-79.01%,,,0,,"12,619",-78.99%,0,,0,,0,,0,,0,,0,,0,,0,
,Salt River Bay NHP & Ecological Pres,"2,704",-48.15%,533,-45.05%,,,0,,"6,406",-44.99%,0,,0,,0,,0,,0,,0,,0,,0,
,Virgin Islands NP,"167,540",25.59%,"85,864",25.60%,,,"204,441",-14.19%,"1,030,373",25.60%,"54,871",-7.88%,0,,0,,0,,0,,0,,653,,"23,897",
,Subtotal Virgin Islands,"210,092",-24.78%,"97,605",5.32%,,,"204,441",,"1,171,291",5.32%,"54,871",,0,,0,,0,,0,,0,,653,622.32%,"27,737",
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Appomattox Court House NHP,"57,513",-43.83%,"6,552",-47.13%,,,0,,"78,632",-47.13%,0,,0,,0,,0,,0,,0,,0,,0,
,Arlington House The R.E. Lee MEM,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Assateague Island NS,"1,662,712",5.85%,"1,157,906",3.82%,,,"2,412",0.00%,"13,894,882",3.82%,"2,412",0.00%,0,,0,,0,,0,,138,-86.71%,0,-67.86%,"2,434",
,Blue Ridge PKWY,"5,357,803",-5.85%,"2,738,374",-7.75%,,,"485,568",0.00%,"32,860,489",-7.75%,"242,784",0.00%,"12,723",-57.88%,0,,"7,029",-39.15%,"3,886",-49.43%,202,-49.25%,0,,0,
,Booker T. Washington NM,"22,482",-8.76%,"1,896",-52.87%,,,84,0.00%,"22,756",-52.87%,12,0.00%,0,,0,,0,,0,,0,,0,,0,
,Colonial NHP,"2,946,594",-11.44%,"248,982",-15.20%,,,"1,807,358",-14.23%,"2,987,790",-15.20%,"903,680",-14.23%,0,,0,,0,,0,,0,,0,,0,
,Cumberland Gap NHP,"51,483",4.39%,"8,909",3.14%,,,"537,782",-1.58%,"106,917",3.15%,"382,268",-1.65%,0,,0,,262,13.42%,997,12.53%,80,110.53%,0,0.00%,17,
,Fredericksburg & Spotsylvania NMP,"838,835",-7.50%,"31,353",-11.78%,,,"1,360,399",-2.61%,"376,243",-11.78%,"160,695",-3.13%,0,,0,,0,,0,,0,,0,,0,
,George Washington Birthplace NM,"41,970",-69.95%,"11,368",-68.45%,,,"7,200",0.00%,"136,427",-68.45%,"7,200",0.00%,0,,0,,0,,0,,0,,0,,0,
,George Washington MEM PKWY,"6,237,361",-16.69%,"622,264",-8.18%,,,"22,888,129",-36.94%,"7,467,175",-8.18%,"11,444,064",-36.94%,0,,0,,0,,0,,0,,0,,0,
,LBJ Memorial Grove on the Potomac,"211,228",-13.52%,"8,801",-13.52%,,,0,,"105,615",-13.52%,0,,0,,0,,0,,0,,0,,0,,0,
,Maggie L. Walker NHS,"1,849",-80.74%,231,-80.75%,,,0,,"2,772",-80.76%,0,,0,,0,,0,,0,,0,,0,,0,
,Manassas NBP,"558,036",9.33%,"34,877",9.33%,,,480,0.00%,"418,525",9.33%,84,0.00%,0,,0,,0,,0,,0,,0,,0,
,Petersburg NB,"152,878",-35.14%,"11,971",-43.21%,,,"386,942",8.16%,"143,652",-43.21%,"96,737",8.16%,0,,0,,0,,0,,0,,0,,0,
